row  column  (images_7.edf S-K*images_7.edf Ar-K**2.3)
10  40  9.21709e+07
10  41  6.87304e+07
10  42  8.16734e+07
10  43  8.74898e+07
10  44  6.8651e+07
10  45  1.06649e+08
10  46  7.36782e+07
10  47  7.94517e+07
10  48  1.08166e+08
10  49  7.51038e+07
10  50  6.29569e+07
10  51  6.81284e+07
10  52  7.92303e+07
10  53  5.0794e+07
10  54  6.89414e+07
10  55  7.80153e+07
10  56  6.45326e+07
10  57  7.94239e+07
10  58  8.10891e+07
10  59  7.51499e+07
10  60  8.64e+07
10  61  8.70029e+07
10  62  9.16743e+07
10  63  8.29283e+07
10  64  8.842e+07
10  65  7.06217e+07
10  66  9.56652e+07
10  67  7.66666e+07
10  68  8.34735e+07
10  69  6.28657e+07
10  70  8.71659e+07
10  71  1.21793e+08
10  72  8.67107e+07
10  73  8.70324e+07
10  74  7.60447e+07
10  75  7.53182e+07
10  76  5.52166e+07
10  77  5.05035e+07
10  78  5.12487e+07
10  79  4.35261e+07
10  80  7.65904e+07
10  81  2.78241e+07
10  82  6.23076e+07
10  83  2.9886e+07
10  84  3.08395e+07
10  85  3.50349e+07
10  86  3.5904e+07
10  87  4.22934e+07
10  88  2.63256e+07
10  89  2.04983e+07
10  90  2.70961e+07
10  91  2.44172e+07
10  92  3.86355e+07
10  93  1.75771e+07
10  94  2.52981e+07
10  95  1.73243e+07
10  96  3.14495e+07
10  97  3.98605e+07
10  98  3.7107e+07
10  99  3.30527e+07
10  100  5.00615e+07
11  0  2.52538e+06
11  1  3.38743e+06
11  2  4.44646e+06
11  3  1.69759e+06
11  4  1.91303e+06
11  5  5.75968e+06
11  6  7.65926e+06
11  7  1.4339e+07
11  8  3.12207e+07
11  9  3.64096e+07
11  10  3.83361e+07
11  11  2.83099e+07
11  12  4.11664e+07
11  13  4.16405e+07
11  14  5.99273e+07
11  15  7.9976e+07
11  16  6.03027e+07
11  17  5.05574e+07
11  18  7.43101e+07
11  19  6.30995e+07
11  20  8.71606e+07
11  21  8.58796e+07
11  22  8.27868e+07
11  23  7.42174e+07
11  24  6.37893e+07
11  25  7.61876e+07
11  26  6.64949e+07
11  27  4.83058e+07
11  28  6.30072e+07
11  29  5.71836e+07
11  30  8.97453e+07
11  31  8.06633e+07
11  32  8.75985e+07
11  33  8.67211e+07
11  34  9.42893e+07
11  35  9.16217e+07
11  36  1.05811e+08
11  37  1.05315e+08
11  38  9.92941e+07
