row  column  (images_12_23nov.edf Zn_K*images_12_23nov.edf Ar_K**2.3)
21  0  4.27226e+07
21  1  1.03435e+08
21  2  2.33338e+08
21  3  2.76134e+08
21  4  3.96851e+08
21  5  3.43715e+08
21  6  3.18904e+08
21  7  2.74842e+08
21  8  3.3615e+08
21  9  3.91017e+08
21  10  3.37632e+08
21  11  2.98333e+08
21  12  2.51662e+08
21  13  2.99483e+08
21  14  4.57223e+08
21  15  4.63527e+08
21  16  3.07693e+08
21  17  1.84219e+08
21  18  1.6662e+08
21  19  2.36938e+08
21  20  3.69438e+08
21  21  2.69142e+08
21  22  3.17046e+08
21  23  3.47644e+08
21  24  3.97637e+08
21  25  6.64735e+08
21  26  4.88112e+08
21  27  5.53891e+08
21  28  4.21399e+08
21  29  3.94642e+08
21  30  3.48226e+08
21  31  1.60166e+08
21  32  2.2265e+08
21  33  5.22819e+08
21  34  4.4178e+08
21  35  3.62831e+08
21  36  3.53612e+08
21  37  5.18856e+08
21  38  3.97479e+08
21  39  5.86941e+08
21  40  5.83875e+08
21  41  4.02599e+08
21  42  3.63452e+08
21  43  4.86861e+08
21  44  4.46737e+08
21  45  5.43537e+08
21  46  3.34297e+08
21  47  2.01483e+08
21  48  2.60352e+08
21  49  4.96494e+08
21  50  5.15814e+08
22  0  9.42753e+07
22  1  1.58797e+08
22  2  3.21437e+08
22  3  2.60988e+08
22  4  3.44457e+08
22  5  3.93129e+08
22  6  2.38393e+08
22  7  1.64049e+08
22  8  3.26386e+08
22  9  3.63098e+08
22  10  2.69482e+08
22  11  2.81669e+08
22  12  2.17014e+08
22  13  2.62175e+08
22  14  3.88402e+08
22  15  3.99377e+08
22  16  3.12186e+08
22  17  1.87542e+08
22  18  2.51254e+08
22  19  2.66153e+08
22  20  3.41205e+08
22  21  2.88441e+08
22  22  3.07899e+08
22  23  2.98943e+08
22  24  4.09128e+08
22  25  4.63963e+08
22  26  5.13804e+08
22  27  5.18535e+08
